Incident Number,Incident_Type,Date_Reported,Cause_Category,Cause_Agent,Population_Density,Province,Latitude,Longitude,Substance,Release_Type,Significant,Pipeline_Type,Activity_in_Process,Pipeline_Involved,Rupture,Environmental_Impact,Source of Explosion,Source of Fire,Activity at time of fatality,Injury,Pax,Evacuees,Pipeline_Name,Pipeline_Length,Substance_Carried,Land_Use,Emergency_Level,Nominal_Pipe_Size,Pipe_Material,Material_Grade,Design_Thickness,Licensed_Max_Pressure,Actual_Operating_Pressure,Year_of_Manufacture,Year_of_Installation,Service_Year,Weld type ,Seam_Type,Seam_Joining_Method,Coating_Location,Coating_Type
INC2010-013,Operation Beyond Design Limits,02/01/2010,Incorrect Operation,Engineering and Planning,Unknown,Alberta,52.09768,-110.69846,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,NPS 18,Carbon Steel,359 - X52,6.3 mm = 0.250 in,5550,6433,,1957,,,,,,Asphalt Mastic
INC2010-014,Fire,02/01/2010,Equipment Failure,Maintenance,Unknown,Alberta,52.64172,-111.27087,Not Applicable,Not Applicable,No,,Operation,No,No,Yes,,Equipment & Electrical,,,,0,TCP Keystone - Hardisty PS,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-016,Release of Substance,02/08/2010,Corrosion and Cracking,Maintenance,Unknown,Alberta,54.83034,-118.64722,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Gold Creek Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-018,Release of Substance,02/09/2010,Equipment Failure,Maintenance,Unknown,British Columbia,55.04188,-121.01874,Natural Gas - Sour,Gas,Yes,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-019,Release of Substance,02/12/2010,Equipment Failure,Maintenance,Unknown,New Brunswick,45.18676,-66.54595,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2019-112,Release of Substance,10/18/2019,Incorrect Operation,Human Factors,Low ,Alberta,53.545709,-113.365488,Crude Oil - Sweet,Liquid,No,Transmission,Maintenance,No,No,No,,,,,,0,Mainline,1596.893888,"Crude Oil, Crude Oil Sour Heavy, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Developed Land - Industrial,Not Emergency,,,,,,,,,,,,,,
INC2019-113,Release of Substance,10/18/2019,Equipment Failure,Inadequate Procurement,Low ,Alberta,51.44418383,-114.5271075,Lube Oil,Liquid,No,Transmission,Construction,Yes,No,No,,,,,,0,WAS M/L - NPS 36,115.7391145,Natural Gas,Developed Land - Industrial,Not Emergency,NPS 3,Carbon Steel,,,,,2019,2019,,,,,,
INC2019-114,Operation Beyond Design Limits,10/21/2019,Natural Force Damage,Natural or Environmental Forces,Low ,Alberta,54.993657,-112.523208,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,PELICAN MAINLINE NPS 16,271.4092112,Natural Gas,Water / Wetlands,Not Emergency,NPS 16,Carbon Steel,414 - X60,,9650,,,1976,,,,,,
INC2019-116,Fire,10/23/2019,Incorrect Operation,Tools and Equipment,Low ,Alberta,53.7905953,-116.9528857,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Equipment & Electrical,,,,0,GPML LOOP NO. 2,12.86328112,Natural Gas,Forests,Not Emergency,,,,,,,,,,,,,,
INC2019-118,Operation Beyond Design Limits,10/26/2019,Natural Force Damage,Natural or Environmental Forces,Low ,British Columbia,49.29246,-115.18849,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,ANG MAINLINE,169.6493858,Natural Gas,Tundra / Native Prairie / Parks,Not Emergency,NPS 36,Carbon Steel,359 - X52,11.1 mm = 0.437 in,,,,,,,,,,
