Incident Number,Incident_Type,Date_Reported,Cause_Category,Cause_Agent,Population_Density,Province,Latitude,Longitude,Substance,Release_Type,Significant,Pipeline_Type,Activity_in_Process,Pipeline_Involved,Rupture,Environmental_Impact,Source of Explosion,Source of Fire,Activity at time of fatality,Injury,Pax,Evacuees,Pipeline_Name,Pipeline_Length,Substance_Carried,Land_Use,Emergency_Level,Nominal_Pipe_Size,Pipe_Material,Material_Grade,Design_Thickness,Licensed_Max_Pressure,Actual_Operating_Pressure,Year_of_Manufacture,Year_of_Installation,Service_Year,Weld type ,Seam_Type,Seam_Joining_Method,Coating_Location,Coating_Type
INC2016-037,Fire,04/19/2016,Incorrect Operation,Maintenance,Low ,Ontario,43.74,-79.63,Not Applicable,Not Applicable,No,Transmission,Construction,Yes,No,No,,Equipment & Electrical,,,,0,King's North Connection Pipeline,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2016-038,Fire,04/23/2016,Incorrect Operation,Human Factors,Medium ,Ontario,43.874375,-79.578986,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Welding or Cutting,,,,0,LINE 100-1,2595.724534,Natural Gas,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2016-041,Fire,05/03/2016,External Interference,Natural or Environmental Forces,Low ,Saskatchewan,50.0126,-102.1408,Not Applicable,Not Applicable,No,Transmission,Operation,No,No,No,,Under Investigation or Unknown,,,,0,,,,Shrub Land,Level I,,,,,,,,,,,,,,
INC2016-042,Operation Beyond Design Limits,05/04/2016,External Interference,Engineering and Planning,Low ,Alberta,57.191887,-118.193875,Not Applicable,Not Applicable,No,Transmission,Operation,No,No,No,,,,,,0,NORTH CENTRAL CORRIDOR,378.5193526,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2016-043,Release of Substance,05/11/2016,Corrosion and Cracking,Maintenance,Low ,Alberta,54.097121,-112.562914,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,MONS LAKE LATERAL - NPS 4,12.14905105,Natural Gas,Agricultural Cropland,Level I,NPS 4,Carbon Steel,290 - X42,2.8 mm = 0.109 in,8620,4570,,1975,1976,,Straight,Electric Resistance Welded,External,Polyethylene Tape Wrap
INC2016-044,Operation Beyond Design Limits,05/11/2016,Incorrect Operation,Failure in communication,Low ,Alberta,51.09872674,-112.6387157,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,EAS M/L (TORRINGTON C/S - PRINCESS) - NPS 30,194.3496315,Natural Gas,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2016-045,Operation Beyond Design Limits,05/12/2016,Incorrect Operation,Human Factors,Low ,Alberta,52.637465,-111.277537,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,Line 4,1248.909872,Crude Oil,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2016-046,Fire,05/13/2016,Incorrect Operation,Maintenance,Medium ,Ontario,48.877764,-89.989258,Not Applicable,Not Applicable,No,Transmission,Construction,Yes,No,No,,Housekeeping,,,,0,LINE 100-1,2595.724534,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2016-099,Adverse Environmental Effects,08/25/2016,Other Causes,Natural or Environmental Forces,Low ,British Columbia,56.592508,-121.751213,Not Applicable,Not Applicable,Yes,Gathering,Construction,No,No,Yes,,,,,,0,"12"" Kobes Creek Lateral Pipeline",29.96125905,Natural Gas Sour,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2016-100,Operation Beyond Design Limits,08/25/2016,Incorrect Operation,Tools and Equipment,Low ,Alberta,51.939713,-112.073701,Not Applicable,Not Applicable,No,Transmission,Maintenance,Yes,No,No,,,,,,0,NORTH LATERAL EXTENSION - NPS 16,276.2667792,Natural Gas,Vegetative Barren,Level I,,,,,,,,,,,,,,
INC2016-101,Operation Beyond Design Limits,08/29/2016,Incorrect Operation,Maintenance,Low ,Alberta,54.972665,-114.291775,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,MITSUE LATERAL - NPS 8,39.45358084,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2016-102,Fire,08/29/2016,Incorrect Operation,Maintenance,Low ,Ontario,46.655465,-79.710737,Not Applicable,Not Applicable,No,Transmission,Construction,Yes,No,No,,Other Event (Nature or 3rd Party),,,,0,LINE 100-1,2595.724534,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2016-103,Release of Substance,08/29/2016,Corrosion and Cracking,Engineering and Planning,Low ,Alberta,50.696946,-111.53471,Lube Oil,Liquid,No,Transmission,Operation,Yes,No,No,,,,,,0,ALDERSON LATERAL EXTENSION - NPS 16,17.49203642,Natural Gas,Shrub Land,Level I,,,,,,,,,,,,,,
INC2016-104,Operation Beyond Design Limits,08/30/2016,Other Causes,Engineering and Planning,Low ,Alberta,54.830119,-118.646961,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,GRANDE PRAIRIE MAINLINE LATERAL LOOP,32.88459159,Natural Gas,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2016-105,Release of Substance,09/01/2016,Corrosion and Cracking,Maintenance,Medium ,Manitoba,49.72011504,-96.98386154,Lube Oil,Liquid,No,Transmission,Operation,Yes,No,No,,,,,,0,LINE 100-1,2595.724534,Natural Gas,Agricultural Cropland,Level I,NPS 3/8,Carbon Steel,,,,,,,,,,,,
INC2016-106,Operation Beyond Design Limits,09/02/2016,Natural Force Damage,Natural or Environmental Forces,Low ,Saskatchewan,51.3531,-106.9799,Not Applicable,Not Applicable,No,Transmission,Maintenance,Yes,No,No,,,,,,0,,,,Water / Wetlands,Level I,,,,,,,,,,,,,,
INC2016-107,Release of Substance,09/04/2016,Corrosion and Cracking,Tools and Equipment,Low ,Ontario,49.443028,-91.714439,Natural Gas - Sweet,Gas,No,Transmission,Maintenance,Yes,No,No,,,,,,0,Line 100-1 (Central section),,,Forests,Level I,NPS 30,Carbon Steel,359 - X52,9.5 mm = 0.375 in,6895,5141,,1957,1957,Long Seam (Longitudinal),Straight,Double Submerged Arc Welding,External,Coal Tar Enamel Narrow
INC2016-108,Release of Substance,09/06/2016,Incorrect Operation,Maintenance,Low ,British Columbia,55.55101914,-122.4538759,Natural Gas - Sweet,Gas,No,Transmission,Maintenance,No,No,No,,,,,,0,"SPECTRA - 30"" MAINLINE",1274.364117,"Natural Gas, Natural Gas Sweet",Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2016-109,Release of Substance,09/12/2016,Incorrect Operation,Maintenance,Low ,British Columbia,55.55101914,-122.4538759,Natural Gas - Sweet,Gas,No,Transmission,Operation,No,No,No,,,,,,0,"SPECTRA - 36"" LOOP",1105.13746,Natural Gas,Shrub Land,Level I,NPS 36,Carbon Steel,,,,,,,,,,,,
INC2016-110,Release of Substance,09/12/2016,Equipment Failure,Maintenance,High ,British Columbia,56.14356248,-120.6685897,Natural Gas - Sweet,Gas,No,Transmission,Operation,No,No,No,,,,,,0,,,,Barren Land,Level I,,,,,,,,,,,,,,
INC2016-112,Operation Beyond Design Limits,09/16/2016,Incorrect Operation,Tools and Equipment,Low ,Alberta,55.069302,-114.442254,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,MITSUE LATERAL - NPS 8,39.45358084,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2016-113,Fire,09/18/2016,External Interference,Maintenance,Low ,Saskatchewan,50.679196,-109.981615,Not Applicable,Not Applicable,No,Transmission,Maintenance,Yes,No,No,,Welding or Cutting,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2016-115,Release of Substance,09/22/2016,Equipment Failure,Tools and Equipment,Low ,Alberta,52.63822644,-111.2786457,Natural Gas Liquids,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,Line 1,1255.999121,Crude Oil,Barren Land,Level I,,,,,,,,,,,,,,
INC2016-116,Operation Beyond Design Limits,09/26/2016,External Interference,Engineering and Planning,Low ,Alberta,54.830119,-118.646961,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,GRANDE PRAIRIE MAINLINE LOOP,368.2235257,"Natural Gas, Natural Gas Sweet",Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2017-027,Release of Substance,02/24/2017,Incorrect Operation,Human Factors,Medium ,British Columbia,56.14410425,-120.6639331,Natural Gas - Sweet,Gas,No,Gathering,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-028,Operation Beyond Design Limits,02/24/2017,Incorrect Operation,Human Factors,Low ,British Columbia,56.2836,-120.22,Not Applicable,Not Applicable,No,Gathering,Maintenance,Yes,No,No,,,,,,0,"12"" Sierra Pipeline",10.5941065,Natural Gas Sour,Tundra / Native Prairie / Parks,Level I,,,,,,,,,,,,,,
INC2017-029,Serious Injury (CER),02/24/2017,Incorrect Operation,Human Factors,Low ,British Columbia,54.34,-122.44,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,0,"30"" Fort St. John Mainline",,,Forests,Level I,,,,,,,,,,,,,,
INC2017-030,Fire,02/26/2017,Incorrect Operation,Maintenance,Low ,Alberta,53.64385,-116.69339,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Equipment & Electrical,,,,0,,,,Forests,Level I,,,,,,,,,,,,,,
INC2017-031,Release of Substance,02/28/2017,Incorrect Operation,Human Factors,Low ,British Columbia,55.56909171,-121.9446616,Sulphur,Miscellaneous,No,Processing,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-032,Fire,03/02/2017,Incorrect Operation,Human Factors,Low ,Alberta,61.843302,-121.33647,Not Applicable,Not Applicable,No,Transmission,Maintenance,No,No,No,,Equipment & Electrical,,,,0,Line 21,989.5584688,Crude Oil,Barren Land,Level I,,,,,,,,,,,,,,
INC2017-034,Fire,03/04/2017,Incorrect Operation,Failure in communication,Low ,Alberta,55.8748,-110.774,Not Applicable,Not Applicable,No,Transmission,Construction,Yes,No,No,,Equipment & Electrical,,,,0,,,,Forests,Level I,,,,,,,,,,,,,,
INC2017-035,Release of Substance,03/04/2017,Equipment Failure,Maintenance,Low ,British Columbia,55.56909171,-121.9446616,Hydrogen Sulphide,Miscellaneous,Yes,Processing,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-040,Fire,03/17/2017,Incorrect Operation,Human Factors,Low ,Alberta,56.4,-119.9,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Welding or Cutting,,,,0,,,,Forests,Level I,,,,,,,,,,,,,,
INC2017-036,Release of Substance,03/07/2017,Incorrect Operation,Human Factors,Low ,British Columbia,55.94382999,-120.19327,Natural Gas Liquids,Gas,No,Transmission,Construction,Yes,No,No,,,,,,0,NORTHERN SYSTEM RELOCATION,1.40717147,"Condensate, Crude Oil, Natural Gas Liquids",Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-037,Fire,03/08/2017,Defect and Deterioration,Engineering and Planning,Low ,Manitoba,50.07237,-100,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,Equipment & Electrical,,,,0,,,,Agricultural Cropland,Level I,,,,,,,,1976,,,,,,
INC2017-038,Fire,03/14/2017,Incorrect Operation,Human Factors,Low ,Saskatchewan,51.86826399,-109.036068,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Equipment & Electrical,,,,0,Line 4,1248.909872,Crude Oil,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-039,Release of Substance,03/15/2017,Incorrect Operation,Maintenance,Low ,Alberta,56.36,-119.92,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,NORTHWEST M/L (BOUNDARY LAKE SECTION) - NPS 36,112.4552231,Natural Gas,Forests,Level I,NPS 1/2,Carbon Steel,,,8450,8400,,2015,2015,,,,,
INC2017-041,Serious Injury (CER),03/19/2017,Incorrect Operation,Tools and Equipment,Low ,British Columbia,55.78,-121.53,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Lost Consciousness,1,0,,,,Vegetative Barren,Level I,,,,,,,,,,,,,,
INC2017-042,Release of Substance,03/19/2017,Equipment Failure,Natural or Environmental Forces,Low ,British Columbia,55.649905,-122.207216,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-099,Operation Beyond Design Limits,07/12/2017,Natural Force Damage,Maintenance,Low ,Ontario,44.554447,-75.798016,Not Applicable,Not Applicable,No,Transmission,Operation,No,No,No,,,,,,0,,,,Water / Wetlands,Level I,,,,,,,,,,,,,,
INC2017-100,Fire,07/14/2017,External Interference,Natural or Environmental Forces,Low ,Alberta,50.697092,-111.489744,Not Applicable,Not Applicable,No,Transmission,Operation,No,No,No,,Other Event (Nature or 3rd Party),,,,0,EASTERN ALBERTA M/L LOOP #3,36.19977727,Natural Gas,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2017-101,Release of Substance,07/14/2017,Equipment Failure,Engineering and Planning,Low ,British Columbia,56.14630285,-120.6691693,Natural Gas - Sour,Gas,Yes,Processing,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-102,Release of Substance,07/18/2017,Corrosion and Cracking,Engineering and Planning,Low ,Alberta,53.544231,-113.349269,Crude Oil - Synthetic,Liquid,No,Transmission,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-103,Release of Substance,07/20/2017,Corrosion and Cracking,Maintenance,Low ,Manitoba,50.07617,-99.9867,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,LINE 100-2,3393.42642,Natural Gas,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2017-104,Fire,07/21/2017,External Interference,Maintenance,Low ,Ontario,48.598185,-88.807598,Not Applicable,Not Applicable,No,Transmission,Maintenance,No,No,No,,Housekeeping,,,,0,LINE 100-1,2595.724534,Natural Gas,Vegetative Barren,Level I,,,,,,,,,,,,,,
INC2017-105,Release of Substance,07/25/2017,External Interference,Engineering and Planning,Medium ,British Columbia,56.14630285,-120.6691693,Butane,Gas,No,Processing,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-110,Release of Substance,07/27/2017,External Interference,Maintenance,Low ,Saskatchewan,50.62028,-105.24194,Natural Gas Liquids,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,Line 1,1255.999121,Crude Oil,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-111,Operation Beyond Design Limits,07/31/2017,Natural Force Damage,Maintenance,Low ,Ontario,45.235319,-75.534506,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,Ottawa Lateral,69.18015157,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline",Water / Wetlands,Level I,NPS 12,Carbon Steel,359 - X52,5.2 mm = 0.203 in,,,,,,,,,,Coal Tar Enamel Narrow
INC2017-114,Release of Substance,08/10/2017,Corrosion and Cracking,Maintenance,Low ,Alberta,54.057238,-113.219046,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,REDWATER LATERAL - NPS 10,145.4215609,Natural Gas,Agricultural Cropland,Level I,NPS 10,Carbon Steel,359 - X52,,8322,4184,,1974,,,Straight,Electric Resistance Welded,External,Polyethylene Tape Wrap
INC2017-115,Release of Substance,08/11/2017,Corrosion and Cracking,Natural or Environmental Forces,Low ,Alberta,50.71329,-112.09327,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,COUNTESS WEST LATERAL - NPS 4,5.92251494,Natural Gas,Agricultural Cropland,Level I,NPS 4,Stainless Steel,290 - X42,2.8 mm = 0.109 in,8412,5422,1976,1976,1976,,Straight,Electric Resistance Welded,External,Fusion Bonded Epoxy (FBE)
INC2017-116,Serious Injury (CER),08/15/2017,Incorrect Operation,Human Factors,Low ,British Columbia,55.749071,-122.2058,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Hospitalization required,4,0,HIGH PINE EXPANSION,32.30675088,Natural Gas Sweet,Forests,Level II,,,,,,,,,,,,,,
INC2017-117,Fire,08/16/2017,External Interference,Natural or Environmental Forces,Low ,British Columbia,56.1695,-120.6575,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Welding or Cutting,,,,0,"16"" Boundary Lake Pipeline",49.55772514,"Natural Gas, Natural Gas Sweet",Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-120,Operation Beyond Design Limits,08/31/2017,External Interference,Engineering and Planning,Low ,Quebec,45.630971,-73.531765,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,NPS 10,Carbon Steel,317 - X46,7.8 mm = 0.307 in,720,,,1952,,,,,,
INC2017-121,Operation Beyond Design Limits,08/31/2017,External Interference,Engineering and Planning,Low ,Quebec,45.630971,-73.531765,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,NPS 10,Carbon Steel,317 - X46,7.8 mm = 0.307 in,,,,1952,,,,,,
INC2017-122,Operation Beyond Design Limits,08/31/2017,External Interference,Engineering and Planning,Low ,Quebec,45.630971,-73.531765,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,NPS 10,Carbon Steel,317 - X46,7.8 mm = 0.307 in,,,,1952,,,,,,
INC2017-171,Serious Injury (CER),10/23/2017,Incorrect Operation,Inadequate Supervision,Low ,Alberta,50.79194,-111.85074,Not Applicable,Not Applicable,Yes,Transmission,Maintenance,No,No,No,,,,Hospitalization required,1,1,EAS M/L LOOP #2 - NPS 36,1.54147929,Natural Gas,Agricultural Cropland,Level II,,,,,,,,,,,,,,
INC2017-172,Serious Injury (CER),10/25/2017,Incorrect Operation,Human Factors,High ,Saskatchewan,51.348868,-106.967462,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,0,,,,Agricultural Cropland,Level II,,,,,,,,,,,,,,
INC2017-173,Release of Substance,10/26/2017,Incorrect Operation,Human Factors,High ,British Columbia,56.14630285,-120.6691693,Propane,Gas,No,Processing,Operation,Yes,No,No,,,,,,0,"SPECTRA - 30"" MAINLINE",1274.364117,"Natural Gas, Natural Gas Sweet",Barren Land,Level I,,,,,,,,,,,,,,
INC2017-174,Release of Substance,10/27/2017,Incorrect Operation,Tools and Equipment,Low ,British Columbia,55.81403847,-120.8694119,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,"30"" Fort St. John Mainline",,,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2017-175,Release of Substance,10/29/2017,Corrosion and Cracking,Failure in communication,Low ,Saskatchewan,50.39,-104.323019,Propane,Gas,No,Transmission,Maintenance,Yes,No,No,,,,,,0,PTC MAINLINE: EMPRESS/WINNIPEG,929.9117454,"NGL-HVP (Propane,Butane)",Agricultural Cropland,Level I,NPS 6,Carbon Steel,290 - X42,4.8 mm = 0.188 in,9930,6000,,1963,1963,,,,External,Extruded Polyethylene
INC2017-176,Release of Substance,11/02/2017,Incorrect Operation,Natural or Environmental Forces,High ,British Columbia,56.14630285,-120.6691693,Natural Gas - Sour,Gas,Yes,Gathering,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-177,Release of Substance,11/02/2017,Incorrect Operation,Human Factors,Low ,Saskatchewan,50.07364,-104.00057,Natural Gas - Sweet,Gas,No,Transmission,Construction,Yes,No,No,,,,,,7,LINE 100-1,2595.724534,Natural Gas,Agricultural Cropland,Level I,NPS 3/8,,,,,,,,,,,,,
INC2017-178,Release of Substance,11/03/2017,Incorrect Operation,Maintenance,Low ,British Columbia,55.79811041,-122.1816369,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,"36"" Fort St. John Mainline Loop",,,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2017-179,Fire,11/04/2017,Other Causes,Natural or Environmental Forces,Medium ,Ontario,42.28084312,-83.07932714,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,Other Event (Nature or 3rd Party),,,,0,Windsor Storage Facilities,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2017-180,Fire,11/04/2017,Incorrect Operation,Human Factors,Low ,Alberta,53.724204,-116.831116,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Equipment & Electrical,,,,0,GRANDE PRAIRIE MAINLINE,339.6264095,Natural Gas,Shrub Land,Level I,,,,,,,,,,,,,,
INC2017-181,Release of Substance,11/07/2017,Corrosion and Cracking,Failure in communication,Low ,Saskatchewan,50.38574,-104.32163,Propane,Gas,No,Transmission,Maintenance,Yes,No,No,,,,,,0,PTC MAINLINE: EMPRESS/WINNIPEG,929.9117454,"NGL-HVP (Propane,Butane)",Agricultural Cropland,Level I,NPS 6,Carbon Steel,290 - X42,4.8 mm = 0.188 in,9930,6000,,1963,1963,,,,External,Extruded Polyethylene
INC2017-183,Release of Substance,11/08/2017,Incorrect Operation,Human Factors,Low ,British Columbia,49.95917767,-120.9160278,Natural Gas - Sweet,Gas,No,Transmission,Maintenance,Yes,No,No,,,,,,0,"SPECTRA - 30"" MAINLINE",1274.364117,"Natural Gas, Natural Gas Sweet",Forests,Level I,,,,,,,,,,,,,,
INC2017-184,Release of Substance,11/19/2017,Incorrect Operation,Maintenance,Low ,Alberta,53.50812123,-122.6078953,Natural Gas - Sweet,Gas,No,Transmission,Maintenance,Yes,No,No,,,,,,0,"SPECTRA - 30"" MAINLINE",1274.364117,"Natural Gas, Natural Gas Sweet",Barren Land,Level I,,,,,,,,,,,,,,
INC2017-185,Release of Substance,11/19/2017,Equipment Failure,Engineering and Planning,Low ,British Columbia,49.95917767,-120.9160278,Natural Gas - Sweet,Gas,Yes,Transmission,Operation,Yes,No,No,,,,,,0,"SPECTRA - 30"" MAINLINE",1274.364117,"Natural Gas, Natural Gas Sweet",Forests,Level I,,,,,,,,,,,,,,
INC2007-097,Release of Substance,01/02/2008,Corrosion and Cracking,Maintenance,Unknown,Alberta,54.84,-118.65,Natural Gas - Sweet,Gas,No,Transmission,Operation,No,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,NPS 3/4,,,,0,,,,,,,,,
INC2008-001,Release of Substance,01/02/2008,Corrosion and Cracking,Maintenance,Unknown,Manitoba,49.753,-101.239,Crude Oil - Sweet,Liquid,No,,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2011-125,Fire,08/09/2011,Equipment Failure,Maintenance,Unknown,Manitoba,50.0749,-100.00047,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Housekeeping,,,,0,TCP Keystone - Rapid City Pump Station 23,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-127,Release of Substance,08/16/2011,Defect and Deterioration,Maintenance,Unknown,Alberta,54.46884,-113.21624,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-129,Operation Beyond Design Limits,08/17/2011,External Interference,Tools and Equipment,Unknown,Ontario,43.768426,-79.485336,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,,,,,0,Mainline,635.0188165,Refined Products-Aviation,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-131,Fire,08/21/2011,Equipment Failure,Maintenance,Unknown,Saskatchewan,50.39317,-104.40937,Not Applicable,Not Applicable,No,,Maintenance,No,No,No,,Equipment & Electrical,,,,0,TCPL - Station 17 (Regina Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-132,Fire,08/22/2011,Incorrect Operation,Maintenance,Unknown,Alberta,55.12635,-117.83833,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Equipment & Electrical,,,,0,NGTL - Clarkson Valley Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-133,Fire,08/23/2011,Incorrect Operation,Engineering and Planning,Unknown,Alberta,57.19241,-118.19542,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Equipment & Electrical,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-134,Fire,08/29/2011,External Interference,Engineering and Planning,Unknown,Saskatchewan,50.44344,-104.35691,Not Applicable,Not Applicable,No,,Construction,Yes,No,No,,Equipment & Electrical,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-135,Release of Substance,08/31/2011,Corrosion and Cracking,Engineering and Planning,Unknown,Alberta,54.83012,-118.64715,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,NPS 18,Carbon Steel,414 - X60,5.6 mm = 0.219 in,724.8,,1970,,,,Spiral,Double Submerged Arc Welding,External,Polyethylene Tape Wrap
INC2011-136,Serious Injury (CER),09/01/2011,Incorrect Operation,Maintenance,Unknown,Ontario,45.51138,-79.31036,Not Applicable,Not Applicable,Yes,,Construction,No,No,No,,,,Fracture,1,0,LINE 100-1,2595.724534,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-138,Release of Substance,09/02/2011,Equipment Failure,Maintenance,Unknown,Alberta,55.84448,-113.89141,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Weaver Lake South Meter Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-141,Release of Substance,09/08/2011,Defect and Deterioration,Maintenance,Unknown,New Brunswick,45.195347,-66.401993,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-142,Release of Substance,09/09/2011,Defect and Deterioration,Maintenance,Unknown,New Brunswick,46.022695,-66.189817,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,MNE - MLV 420,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-143,Release of Substance,09/09/2011,Defect and Deterioration,Maintenance,Unknown,New Brunswick,45.963713,-66.52814,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,MNE - MLV 446,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-146,Fire,09/10/2011,Incorrect Operation,Human Factors,Low ,Alberta,55.50563,-119.56184,Not Applicable,Not Applicable,No,,Construction,No,No,No,,Welding or Cutting,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-152,Release of Substance,09/20/2011,Defect and Deterioration,Maintenance,Low ,Saskatchewan,50.28587,-102.95155,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 21 (Grenfell Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2011-153,Release of Substance,09/26/2011,Equipment Failure,Maintenance,Unknown,New Brunswick,45.129009,-66.83136,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
